date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,3.6,1.7,5,,,,17.3,,1008.2,
2020-01-02 00:00:00,4.7,0.6,8.9,,,,12.4,,1013.9,
2020-01-03 00:00:00,7.6,6.7,8.3,,,,8.4,,1010.2,
2020-01-04 00:00:00,8.2,6.7,9.4,,,,5.7,,1003.7,
2020-01-05 00:00:00,4.6,2.8,7.2,,,,8.2,,1010.1,
2020-01-06 00:00:00,3.9,,,,,,16,,1015.3,
2020-01-07 00:00:00,4.7,3.3,6.7,,,,10.4,,1016.2,
2020-01-08 00:00:00,2.6,-0.6,6.7,,,,13.4,,1016.6,
2020-01-09 00:00:00,-0.6,-3.3,2.2,,,,9.1,,1038.8,
2020-01-10 00:00:00,6.4,1.1,11.7,,,,14.5,,1034.5,
2020-01-11 00:00:00,14.7,,,,,,14,,1023.3,
2020-01-12 00:00:00,15.7,9.4,19.4,,,,15.5,,1018.1,
2020-01-13 00:00:00,,,,,,,,,,
2020-01-14 00:00:00,6.3,5,7.8,,,,9.9,,1025.3,
2020-01-15 00:00:00,8.2,6.1,11.7,,,,9,,1020.9,
2020-01-16 00:00:00,6.7,2.2,10,,,,10.6,,1015.1,
2020-01-17 00:00:00,-1.2,-3.9,2.2,,,,8.8,,1034.7,
2020-01-18 00:00:00,-2.2,-5,2.8,,,,10.2,,1028.5,
2020-01-19 00:00:00,4,0.6,7.2,,,,10.2,,1008.9,
2020-01-20 00:00:00,-1.7,-5,2.8,,,,9,,1024.2,
2020-01-21 00:00:00,-1.5,-4.4,3.3,,,,8.9,,1030.8,
2020-01-22 00:00:00,0.9,-2.2,5.6,,,,8.1,,1031.3,
2020-01-23 00:00:00,3.5,0,7.2,,,,7.5,,1029.4,
2020-01-24 00:00:00,6.5,3.3,11.7,,,,10.6,,1027.4,
2020-01-25 00:00:00,6.6,4.4,10,,,,22.9,,1014.5,
2020-01-26 00:00:00,5.5,3.3,8.9,,,,14.9,,1009.3,
2020-01-27 00:00:00,5.1,3.3,8.3,,,,14.4,,1006.6,
2020-01-28 00:00:00,4.9,3.9,7.2,,,,6.3,,1010.2,
2020-01-29 00:00:00,3.5,1.1,7.2,,,,7.8,,1018.2,
2020-01-30 00:00:00,1.3,-1.7,4.4,,,,10.7,,1026.3,
2020-01-31 00:00:00,4.3,2.2,6.1,,,,7.5,,1026,
